trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Ablated_1,sw_Healthy_vs_Student_0,sw_Healthy_vs_Student_1,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
35,1,60.0,330.0,False,0.5794885211010224,0.3456560119947033,0.5854745806337537,0.44144850549063047,0.14156006092804424,0.37298632688376626,0.5035397045764931,0.11166737367326886
36,1,90.0,0.0,False,0.7194303343640619,0.6003928233524717,0.7495181822503325,0.5898251992389908,0.05977478570174552,0.5930151363765341,0.689780446655622,0.06438907799436315
37,1,90.0,30.0,False,0.6695309397043132,0.5186165994632939,0.677624337208482,0.6174223502777465,0.09269130216654967,0.610496338916072,0.6219239587920297,0.0731240208567952
38,1,90.0,60.0,False,0.4179542935621604,0.25905385887879534,0.46273660253773075,0.537043398135373,0.09518319673377769,0.6062830657507577,0.37991491832622887,0.08739531096255641
39,1,90.0,90.0,True,0.5783530024055785,0.23861354840898794,0.6248584121329345,0.6275814489531317,0.398031659460932,0.7971958430523398,0.4806083209825003,0.17216618086054106
40,1,90.0,120.0,False,0.9102339162066184,0.3717196493301461,0.7395459067137948,0.6459886481335118,0.4818506557500886,0.6513234580050518,0.6738331574168531,0.22470429156634303
41,1,90.0,150.0,False,1.3146288953355767,1.7852984404535321,1.3862486019530826,1.2938524351152627,0.12806567476164876,1.2105083293859287,1.4953919792473969,0.207069493617952
42,1,90.0,180.0,False,1.8924569763533179,2.197077105619099,1.8845067603641454,1.270245074838908,0.05173022508477112,1.2263339705153173,1.9913469474455205,0.14550939252653705
43,1,90.0,210.0,False,1.3753158886532129,1.527605879568612,1.2766852639121764,1.0985910491637514,0.14528698119427685,1.1682375889587657,1.393202344044667,0.10321573783489943
44,1,90.0,240.0,False,0.6658290429763432,0.7897743824805866,0.6211835518251893,1.2673803930568583,0.08192196936594176,1.2157622493494613,0.6922623257607063,0.0713197302029754
45,1,90.0,270.0,False,0.7196555601840691,0.08335791722202959,0.7102303827605805,0.6953442850588103,0.1076135841128025,0.684887935767645,0.5044146200555597,0.29775691287038025
46,1,90.0,300.0,False,1.0033545554365018,0.8068797469496208,0.9952371689926285,0.5335523756474514,0.09021028942804048,0.5408226660494801,0.9351571571262504,0.09076634274108157
47,1,90.0,330.0,False,0.8445782818222871,0.6727413178916765,0.8537824294677769,0.6687819013836196,0.02093468582062659,0.6732577482262037,0.7903673430605801,0.08325899523473593
48,1,120.0,0.0,False,1.1986562126549076,0.636309725155163,1.2143850023816698,1.2288919099986688,0.1484347030799336,1.2369255083215296,1.016450313397247,0.2688766741194995
49,1,120.0,30.0,False,1.1461594236928798,0.0965108075645163,1.1604839111632925,1.1578152862676188,0.08288456716924825,1.1724122099156968,0.8010513808068961,0.49821973883274195
50,1,120.0,60.0,False,1.0032840505761202,0.13552088472132562,0.9777290377599882,1.0321710934545603,0.17510576677755607,1.0000247993553395,0.7055113243524781,0.40317910877027835
51,1,120.0,90.0,False,0.9358071835300028,0.1886281517691572,0.9183402047863737,0.8306650444797903,0.2826936162916724,0.7878768412031434,0.6809251800285113,0.3481795962443817
52,1,120.0,120.0,True,0.6643969067526525,1.1459465399340878,0.8403153608261856,0.769584926684,0.47189252217050415,0.9259142117998606,0.8835529358376419,0.19895498355816946
53,1,120.0,150.0,False,0.7037467281576055,1.7556017134565085,0.8014412866327192,1.31907610953591,0.22245739082236107,1.380533620732517,1.086929909415611,0.4745015228836771
54,1,120.0,180.0,False,0.6227507688281355,0.9958400503424147,0.7195219704235085,0.922780699410892,0.12219170602208702,0.8711960950279909,0.7793709298646863,0.15808294543235646
55,1,120.0,210.0,False,0.5238000787242145,0.4327506848315771,0.5278624142107698,0.7362410040379572,0.1118986047176906,0.7027450477889225,0.49480439258885384,0.04390992770980508
56,1,120.0,240.0,False,0.6847518670690762,0.3717046450127579,0.6739076163052619,0.7163786408638856,0.09940137235920307,0.6917546056862023,0.5767880427956986,0.14508342307859537
57,1,120.0,270.0,False,0.8217299450038007,0.36839856828044615,0.8269156459005367,0.718296015686171,0.09804946887287572,0.6990945592610316,0.6723480530615945,0.21493516828335585
58,1,120.0,300.0,False,1.2875903069755728,0.9675392393397584,1.2972117321633077,1.3265597745873476,0.11958963677665145,1.3096120083112028,1.1841137594928794,0.15319167740737272
59,1,120.0,330.0,False,1.350977731191799,0.8716287725708836,1.3544594700978512,1.2788831228694773,0.05919148143111009,1.3066060461577145,1.192355324620178,0.2267923742376479
60,1,150.0,0.0,False,1.390794783259297,0.37776765089111963,1.430488174275999,1.4475022914586688,0.18989974042802082,1.4816481737878846,1.0663502028088052,0.4871709757547175
61,1,150.0,30.0,False,1.389236521226962,0.15787121497428958,1.3959196121654591,1.3514668821775602,0.10059189537109553,1.354421964573914,0.9810091161222368,0.5820527863552176
62,1,150.0,60.0,False,1.2880594741808145,0.14109502312269365,1.3186389713279139,1.3566321919657245,0.16718201624922227,1.3867934701506934,0.915931156210474,0.5480340933830429
63,1,150.0,90.0,False,1.3781215856680757,0.7301746405153473,1.370386966025553,1.080368041261091,0.1582062612287165,1.1061532912115402,1.1595610640696588,0.30363847103073693
64,1,150.0,120.0,False,0.8829475622621206,1.5617477945476381,0.8046980796461667,1.2994348705021461,0.25041179149772674,1.3269431092986939,1.0831311454853085,0.3399374138005956
65,1,150.0,150.0,True,0.6532132907876871,1.0438148906304552,0.5927987006875499,0.6815382837290991,0.2532339575669546,0.7946400800707053,0.763275627368564,0.1998986232200135
66,1,150.0,180.0,False,0.5481176379295871,0.5856791577619556,0.49843793654013924,0.43081184094552144,0.16892835388176985,0.45823640514533426,0.5440782440772273,0.035730427715411184
67,1,150.0,210.0,False,0.6545859862204558,0.40438232464312895,0.5768424905972094,0.5442675877948897,0.15323078320290878,0.48857804605295724,0.545270267153598,0.10455643463876457
68,1,150.0,240.0,False,0.7791685307598334,0.12895792989058638,0.7501233242869055,0.6924842627731405,0.09985870292099419,0.6703989995323851,0.5527499283124419,0.2999007051781819
69,1,150.0,270.0,False,0.9046598132233757,0.4967972500034492,0.9137806206578467,0.9555989141243185,0.10536172498350382,0.9833942530748494,0.7717458946282237,0.19445370514652008
70,1,150.0,300.0,False,1.2819270252585244,0.9130548782259036,1.2657884507299257,1.4670287425767743,0.18234707303886866,1.4746572287565407,1.1535901180714514,0.1702116615719384
